name~location_id~city~state~awards~positive~uName~uLocation
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~Chad-a-Lack~Puyallup, Washington
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~Victoria B~Seattle, Washington
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~SBHTravels~Miami, Florida
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~positive~bsborunda~Texas
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~positive~Tras44~Seattle, Washington
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~positive~Debbie L~Greater Melbourne, Australia
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~kingedward29~Michigan
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~negative~pddownunder~Sydney
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~positive~VashonRR~Vashon, Washington
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~positive~Ken P~Seattle
Bakery Nouveau~788105~Seattle~Washington~Certificate of Excellence 2016~positive~Mary Beth D~Seattle, Washington
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~negative~Craig D~Missouri
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~negative~Courtney B~Park City, Utah
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~positive~mkbloom~New York
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~positive~hasmar2016~Memphis, Tennessee
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~positive~REIKE P~Chicago, United States
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~negative~FrancisK~Honolulu
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~positive~Scott T~Morton, Illinois
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~positive~221PaulC~Glen Ellyn, Illinois
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~negative~Nick M~Winston Salem, North Carolina, United States
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~positive~northshorenancy2016~Chicago, Illinois
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~positive~Kevin L~Boston, Massachusetts
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~negative~soxinette~strasbourg
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~negative~Hope556~Madison, Wisconsin
Bandera Restaurant~427764~Chicago~Illinois~Certificate of Excellence 2016~negative~Salida1048~Salida, Co. USA
Bar Dupont~4587338~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~LHornet34~Washington DC, District of Columbia
Bar Dupont~4587338~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Hani A~Jerusalem, Israel
